date,ad_male,yearling_male,ad_female,yearling_female,yearling,calf,unknown,group_size,area,Year,JDate,Month,EASTING,NORTHING,id,habitat,propOpen,propClosed,season,composition
2016-05-23T02:30:00Z,0,0,3,0,0,0,0,3,Turpins,2016,144,5,705215.552868376,5513221.14650556,4,open,1.00000000000001,0,Calving,Female
2016-05-24T02:30:00Z,0,0,3,0,0,0,0,3,CapeCove,2016,145,5,712454.800646866,5507608.32282904,5,open,0.700875099443126,0.167859984089101,Calving,Female
2016-05-29T02:30:00Z,0,0,2,1,1,0,0,3,Turpins,2016,150,5,705193.341925318,5514281.15668919,6,open,0.876690533015127,0.123309466984885,Calving,Female
2016-06-02T02:30:00Z,0,0,1,0,0,0,0,1,WesternIndianIsland,2016,154,6,693238.052667492,5490989.58462257,7,open,0.365950676213207,0.634049323786801,Calving,Female
2016-06-02T02:30:00Z,0,0,1,0,0,1,0,2,WesternIndianIsland,2016,154,6,706260.427873424,5514445.34541485,8,open,0.397772474144791,0.0501193317422435,Calving,Female
2016-06-03T02:30:00Z,0,0,2,0,0,2,0,4,Turpins,2016,155,6,715484.525266403,5505059.46097831,10,open,0.878281622911706,0.121718377088306,Calving,Female
2016-06-07T02:30:00Z,0,0,1,0,0,1,0,2,CapeCove,2016,159,6,715651.037998725,5504452.65827894,11,closed,0.680986475735887,0.319013524264121,Calving,Female
2016-06-07T02:30:00Z,0,0,5,0,0,4,0,9,CapeCove,2016,159,6,710864.95515524,5508740.68746833,12,closed,0.322195704057279,0.677804295942728,Calving,Female
2016-06-08T02:30:00Z,0,0,2,0,0,1,0,3,Tilting,2016,160,6,706211.370104697,5512857.18322237,13,open,0.998408910103435,0.00159108989657916,Calving,Female
2016-06-11T02:30:00Z,1,0,2,0,0,0,0,3,Turpins,2016,163,6,708448.392583462,5510979.26711634,17,open,0.498806682577569,0.501193317422438,Calving,Mixed
2016-06-12T02:30:00Z,0,0,1,0,0,1,0,2,LionsDen,2016,164,6,708448.392583462,5510979.26711634,26,open,0.498806682577569,0.501193317422438,Calving,Female
2016-06-12T02:30:00Z,0,0,1,0,0,0,0,1,ShoalBay,2016,164,6,702288.297201694,5505116.35868608,27,open,0.494828957836121,0.505171042163886,Calving,Female
2016-06-12T02:30:00Z,0,0,1,0,0,1,0,2,ShoalBay,2016,164,6,698345.997467351,5509328.30659396,28,open,0.557677008750999,0.20525059665871,Calving,Female
2016-06-14T02:30:00Z,0,0,1,0,0,0,0,1,ShoalBay,2016,166,6,702377.55008937,5505067.3744152,29,open,0.570405727923633,0.429594272076375,Calving,Female
2016-06-16T02:30:00Z,0,0,1,0,0,1,0,2,JBA,2016,168,6,706342.878851225,5514439.5877857,30,open,0.369132856006365,0.0429594272076373,Calving,Female
2016-06-18T02:30:00Z,0,0,3,3,3,3,0,9,LionsDen,2016,170,6,698690.963674948,5511178.65380925,42,open,0.483691328560067,0.498806682577569,Calving,Female
2016-06-19T02:30:00Z,0,0,1,1,1,1,0,3,LionsDen,2016,171,6,699382.757455021,5510559.63100488,47,open,0.766905330151163,0.233094669848845,Calving,Female
2016-06-19T02:30:00Z,0,0,1,0,0,1,0,2,LionsDen,2016,171,6,699316.823149609,5510390.23830254,48,closed,0.43834526650756,0.561654733492447,Calving,Female
2016-06-19T02:30:00Z,0,0,1,0,0,0,0,1,ShoalBay,2016,171,6,702705.964398027,5504322.72683135,49,closed,0.22434367541766,0.775656324582348,Calving,Female
2016-06-20T02:30:00Z,0,0,4,0,0,2,3,9,CapeCove,2016,172,6,715474.544882979,5504492.3982923,52,closed,0.502784407319017,0.49721559268099,Calving,Female
2016-06-22T02:30:00Z,0,0,1,0,0,0,0,1,CapeCove,2016,174,6,712435.545612406,5507160.03842617,63,closed,0.160700079554495,0.83134447096262,Calving,Female
2016-06-23T02:30:00Z,0,0,2,0,0,1,0,3,WesternIndianIsland,2016,175,6,693497.367539772,5490723.89200687,69,closed,0.57597454256166,0.424025457438347,Calving,Female
2016-06-23T02:30:00Z,1,0,1,0,0,0,0,2,WesternIndianIsland,2016,175,6,698981.519987216,5493115.38311861,71,open,0.839299920445516,0.160700079554495,Calving,Mixed
2016-06-24T02:30:00Z,0,0,0,1,1,1,0,2,LionsDen,2016,176,6,699596.271000418,5511110.6930361,79,open,0.928400954653951,0.0214797136038186,Calving,Mixed
2016-06-24T02:30:00Z,0,0,0,1,1,0,0,1,LionsDen,2016,176,6,699727.220831224,5510867.30658755,80,closed,0.885441527446312,0.1145584725537,Calving,Mixed
2016-06-25T02:30:00Z,0,0,1,3,3,0,0,4,JBA,2016,177,6,705045.872241872,5514650.69798735,82,open,0.843277645186964,0.155131264916468,Calving,Female
2016-06-25T02:30:00Z,0,0,3,4,4,3,0,10,JBA,2016,177,6,705187.681062029,5514696.15564837,84,open,0.787589498806692,0.190135242641209,Calving,Female
2016-06-26T02:30:00Z,0,0,1,0,0,0,0,1,Tilting,2016,178,6,709461.97623831,5510117.82181342,95,closed,0.393794749403343,0.606205250596665,Calving,Female
2016-06-28T02:30:00Z,0,0,1,0,0,0,0,1,BarrIsland,2016,180,6,703306.09246733,5509509.0208733,98,open,0.657915672235488,0.342084327764519,Calving,Female
2016-06-28T02:30:00Z,0,0,1,3,3,1,0,5,JBA,2016,180,6,704333.413322969,5514589.19981969,99,open,0.957040572792376,0,Calving,Female
2016-06-28T02:30:00Z,0,0,6,0,0,6,0,12,JBA,2016,180,6,704333.413322969,5514589.19981969,100,open,0.957040572792376,0,Calving,Female
2016-06-29T02:30:00Z,0,0,1,0,0,0,0,1,CapeCove,2016,181,6,715761.202315066,5504663.00164377,106,open,0.533015115354022,0.466984884645986,Calving,Female
2016-07-01T02:30:00Z,0,0,1,0,0,0,0,1,WesternIndianIsland,2016,183,7,696611.656075394,5491814.92156192,112,open,1.00000000000001,0,Summer,Female
2016-07-02T02:30:00Z,0,0,6,0,0,7,0,13,JBA,2016,184,7,704952.743050184,5514614.88265756,119,open,0.849642004773281,0.133651551312649,Summer,Female
2016-07-15T02:30:00Z,0,0,4,2,2,1,0,7,JBA,2016,197,7,706771.064056411,5513202.49946653,123,open,0.897374701670656,0.0238663484486873,Summer,Female
2016-07-15T02:30:00Z,0,0,2,0,0,1,0,3,JBA,2016,197,7,706724.503663297,5513438.94179148,124,open,0.822593476531434,0,Summer,Female
2016-07-16T02:30:00Z,0,0,1,0,0,1,0,2,LionsDen,2016,198,7,699760.560983509,5510394.35961038,127,closed,0.381066030230709,0.618933969769298,Summer,Female
2016-07-17T02:30:00Z,0,0,1,0,0,0,0,1,BarrIsland,2016,199,7,704385.664661892,5509693.28048716,130,open,0.75338106603024,0.246618933969768,Summer,Female
2016-07-18T02:30:00Z,1,0,1,0,0,0,0,2,WesternIndianIsland,2016,200,7,698790.477898394,5493072.78148921,131,open,0.723945902943525,0.276054097056483,Summer,Mixed
2016-07-21T02:30:00Z,0,0,1,0,0,1,0,2,BarrIsland,2016,203,7,705664.897877702,5509276.44057945,138,open,0.730310262529842,0.269689737470166,Summer,Female
2016-07-23T02:30:00Z,0,0,1,0,0,0,0,1,CentreIsland,2016,205,7,701077.344833083,5504942.17498814,143,closed,0.721559268098656,0.278440731901352,Summer,Female
2016-07-24T02:30:00Z,0,0,1,0,0,0,0,1,Tilting,2016,206,7,710085.21278056,5509015.39546893,144,open,0.428798727128085,0.53778838504376,Summer,Female
2016-08-06T02:30:00Z,0,0,1,0,0,0,0,1,LionsDen,2016,219,8,698131.532578741,5509783.48850723,146,open,0.210819411296737,0.645186953062855,Summer,Female
2016-08-07T02:30:00Z,0,0,1,0,0,0,0,1,BarrIsland,2016,220,8,704888.868800762,5509616.57696217,151,open,0.840891010342095,0.159108989657915,Summer,Female
2016-08-08T02:30:00Z,0,0,1,0,0,1,0,2,EasternIndianIsland,2016,221,8,699438.213804607,5490491.95629972,152,open,0.614160700079561,0.385839299920447,Summer,Female
2016-08-12T02:30:00Z,1,0,5,0,0,1,0,7,JBA,2016,225,8,704769.940544764,5513023.91523414,155,open,0.94988066825777,0.0501193317422435,Summer,Mixed
2016-08-12T02:30:00Z,0,0,0,0,0,1,0,1,JBA,2016,225,8,706154.028323176,5512601.19062182,156,closed,0.866348448687362,0.133651551312649,Summer,Female
2016-08-12T02:30:00Z,0,0,1,0,0,0,0,1,LionsDen,2016,225,8,698123.719214183,5509444.8289867,158,open,0.102625298329356,0.583134447096266,Summer,Female
2016-08-15T02:30:00Z,0,0,1,0,0,0,0,1,Tilting,2016,228,8,709093.706002653,5507932.81074829,159,closed,0.817024661893407,0.182975338106603,Summer,Female
2016-08-15T02:30:00Z,0,0,1,0,0,0,0,1,Tilting,2016,228,8,710402.242550187,5509033.27533893,160,open,0.230708035003977,0.686555290373914,Summer,Female
2016-08-16T02:30:00Z,0,0,1,0,0,0,0,1,Seldom,2016,229,8,699742.277859259,5498852.15370677,161,open,0.350039777247415,0.649960222752592,Summer,Female
2016-08-17T02:30:00Z,0,0,1,0,0,0,0,1,CapeCove,2016,230,8,715255.407712931,5504605.04068623,162,open,0.672235481304701,0.327764518695306,Summer,Female
2016-08-18T02:30:00Z,0,0,2,0,0,0,0,2,JBA,2016,231,8,706748.232598926,5514101.08618453,163,open,0.908512330946711,0.0763723150357997,Summer,Female
2016-08-19T02:30:00Z,1,0,1,0,0,1,0,3,LionsDen,2016,232,8,698488.499782996,5510501.14753207,164,closed,0.562450278440737,0.36038186157518,Summer,Mixed
2016-08-21T02:30:00Z,0,0,1,0,0,1,0,2,LionsDen,2016,234,8,699835.068691246,5509881.74861571,167,closed,0.460620525059669,0.539379474940339,Summer,Female
2016-08-22T02:30:00Z,0,0,3,0,0,2,0,5,EasternIndianIsland,2016,235,8,699886.616516842,5490669.79209368,168,closed,0.298329355608591,0.701670644391416,Summer,Female
2016-08-23T02:30:00Z,0,0,1,0,0,0,0,1,BarrIsland,2016,236,8,701077.344833083,5504942.17498814,170,closed,0.721559268098656,0.278440731901352,Summer,Female
2016-08-25T02:30:00Z,0,0,1,0,0,0,0,1,Tilting,2016,238,8,710332.092819325,5507418.59294666,171,open,0.400954653937949,0.599045346062058,Summer,Female
2016-08-29T02:30:00Z,0,0,1,0,0,1,0,2,EasternIndianIsland,2016,242,8,701936.973771139,5490837.84135963,173,closed,0.553699284009551,0.446300715990456,Summer,Female
2017-05-01T02:30:00Z,4,0,0,0,0,0,0,4,StagHarbour,2017,121,5,695369.572072449,5495183.76280372,181,closed,0.618138424821009,0.381861575178999,Calving,Male
2017-05-02T02:30:00Z,0,0,1,0,0,0,9,10,LionsDen,2017,122,5,698118.943114671,5510955.09257003,182,open,0.700875099443126,0.299124900556881,Calving,Female
2017-05-02T02:30:00Z,0,0,2,0,0,0,8,10,DeepBay,2017,122,5,698603.010185172,5503772.3817859,183,open,0.653142402545751,0.346857597454257,Calving,Female
2017-05-26T02:30:00Z,0,0,1,0,0,0,0,4,CapeCove,2017,146,5,714223.211541284,5504004.17355609,184,open,0.656324582338909,0.343675417661098,Calving,Female
2017-05-26T02:30:00Z,0,0,3,0,0,0,0,3,CapeCove,2017,146,5,712885.399468341,5505896.33850587,185,closed,0.501193317422438,0.498806682577569,Calving,Female
2017-05-26T02:30:00Z,1,0,3,0,0,0,4,8,CapeCove,2017,146,5,713624.480981585,5504101.89526363,186,open,0.916467780429607,0.0835322195704059,Calving,Mixed
2017-05-26T02:30:00Z,0,0,1,0,0,0,0,2,CapeCove,2017,146,5,715315.805073511,5505795.32121366,187,open,0.957040572792376,0.0429594272076373,Calving,Female
2017-05-26T02:30:00Z,0,0,3,0,0,0,1,4,CapeCove,2017,146,5,714319.241105973,5504006.85549719,189,open,0.675417661097859,0.324582338902148,Calving,Female
2017-05-26T02:30:00Z,0,0,1,0,0,0,0,1,CapeCove,2017,146,5,716059.064574556,5504697.13203581,190,open,0.558472553699289,0.441527446300718,Calving,Female
2017-05-26T02:30:00Z,0,0,1,0,0,0,0,1,CapeCove,2017,146,5,715359.710121627,5505072.31265197,191,open,0.839299920445516,0.160700079554495,Calving,Female
2017-05-27T02:30:00Z,0,0,1,0,0,1,0,2,Tilting,2017,147,5,710275.081707093,5508793.44250072,195,closed,0.192521877486077,0.660302307080357,Calving,Female
2017-05-27T02:30:00Z,0,0,6,0,0,0,0,8,JBA,2017,147,5,707499.048792526,5513071.2065048,196,open,0.960222752585534,0.0397772474144789,Calving,Female
2017-05-27T02:30:00Z,0,0,1,0,0,0,0,1,JBA,2017,147,5,707109.969801102,5512981.70214123,197,open,0.978520286396195,0.0214797136038186,Calving,Female
2017-05-27T02:30:00Z,1,0,0,0,0,0,0,1,Tilting,2017,147,5,710958.090321236,5509686.11725944,198,closed,0.644391408114565,0.355608591885442,Calving,Male
2017-05-28T02:30:00Z,0,1,1,1,2,0,0,3,LionsDen,2017,148,5,698776.592838365,5510812.25668215,199,open,0.460620525059669,0.53619729514718,Calving,Female
2017-05-28T02:30:00Z,1,0,0,0,0,0,0,1,LionsDen,2017,148,5,699112.054083455,5511129.57918,200,open,0.668257756563253,0.0413683373110581,Calving,Male
2017-05-28T02:30:00Z,0,0,0,0,0,0,1,1,LionsDen,2017,148,5,699217.539386176,5510655.94862246,201,open,0.470962609387434,0.299124900556881,Calving,Female
2017-05-29T02:30:00Z,0,0,1,0,0,0,0,2,CentreIsland,2017,149,5,704804.248796699,5508227.49420557,202,open,0.955449482895797,0.0445505171042164,Calving,Female
2017-05-29T02:30:00Z,1,0,1,0,0,0,0,5,WesternIndianIsland,2017,149,5,698795.767355982,5491976.6289234,203,open,0.673031026252991,0.326968973747017,Calving,Mixed
2017-05-29T02:30:00Z,1,0,5,0,0,0,0,8,WesternIndianIsland,2017,149,5,699087.041234428,5491873.74620526,204,open,0.934765314240267,0.0652346857597455,Calving,Mixed
