Total_Caribou,HERD,Date,year,Lat,Long,HerdYear,Month,season,phase
10,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
6,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
5,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
11,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
5,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
4,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
4,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
3,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
2,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
12,Aides_Lake,2005-03-10T03:30:00Z,2005,,,Aides_Lake_2005,3,Winter,2001-2013
27,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
15,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
4,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
96,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
2,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
1,Aides_Lake,2009-10-01T02:30:00Z,2009,,,Aides_Lake_2009,10,Autumn,2001-2013
15,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
3,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
7,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
8,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
11,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
1,Aides_Lake,2011-10-24T02:30:00Z,2011,,,Aides_Lake_2011,10,Autumn,2001-2013
