HerdYear,HERD,year,season,meanSR,meanGS,medGS,meanCC,seSR,seGR,seCC,Year,Herd,size,diff,changeSize,phase,herdSize,groupSize,scaleHerd,V1,typicalGS
Avalon_1992,Avalon,1992,Winter,0.869889114345666,9.00961538461539,7,Inf,0.0187510677645782,0.576243531828171,,1992,Avalon,6609,124,0.018762293841731,1987-1997,medium,medium,2.12919017764594,11999,12.8057630736393
Avalon_1996,Avalon,1996,Autumn,0.585147392290249,3.23809523809524,2,0.554166666666667,0.0829729663209716,0.551641541240937,0.102373453952058,1996,Avalon,7104,123,0.0173141891891892,1987-1997,medium,small,2.33800748482355,348,5.11764705882353
Avalon_2001,Avalon,2001,Calving,0.991622574955908,8.70731707317073,4,Inf,0.00507834579370058,1.39653050163568,,2001,Avalon,1299,-182,-0.140107775211701,2001-2013,medium,medium,-0.110850026622954,6307,17.6666666666667
Avalon_2002,Avalon,2002,Autumn,,5.83606557377049,4,Inf,,0.713331416115926,,2002,Avalon,1117,-182,-0.162936436884512,2001-2013,medium,medium,-0.187627299160984,3940,11.0674157303371
Avalon_2004,Avalon,2004,Winter,0.788379602853287,7.05,7,Inf,0.056301015694676,1.21064358699695,,2004,Avalon,753,-182,-0.241699867197875,2001-2013,small,medium,-0.341181844237044,1551,11
Avalon_2005,Avalon,2005,Calving,0.818899782135076,5.64285714285714,2.5,,0.0556713445453659,1.90322358516207,,2005,Avalon,570,-183,-0.321052631578947,2001-2013,small,medium,-0.418380969920888,3630,22.9746835443038
Avalon_2007,Avalon,2007,Autumn,,7.28571428571429,6,Inf,,1.19351991852602,,2007,Avalon,439,-68,-0.154897494305239,2001-2013,small,medium,-0.473643732022437,1713,11.1960784313725
Avalon_2008,Avalon,2008,Calving,0.358783783783784,4.91891891891892,3,0.368627450980392,0.0686288031027645,1.10443983762018,0.142126433524864,2008,Avalon,437,-2,-0.0045766590389016,2001-2013,small,small,-0.474487438314063,2520,13.8461538461538
Avalon_2010,Avalon,2010,Winter,0.678175930349843,8.40476190476191,6.5,0.331046096760383,0.0678940838148774,1.11168407880475,0.088951143720919,2010,Avalon,414,-9,-0.0217391304347826,2001-2013,small,medium,-0.48419006066777,5847,13.1393258426966
Avalon_2010,Avalon,2010,Calving,0.616761982570806,3.83333333333333,2,,0.094799561833578,0.850546854494696,,2010,Avalon,414,-9,-0.0217391304347826,2001-2013,small,small,-0.48419006066777,5847,13.1393258426966
Avalon_2011,Avalon,2011,Winter,0.712290669856459,10.8,9,0.199049316696376,0.125829184511102,2.2647050335284,0.0737292142095294,2011,Avalon,416,2,0.00480769230769231,2001-2013,small,medium,-0.483346354376144,1628,15.0740740740741
Avalon_2012,Avalon,2012,Winter,0.733650793650794,8.9,9,0.597045454545455,0.062470081862504,1.62924658797999,0.197582975909227,2012,Avalon,370,-46,-0.124324324324324,2001-2013,small,medium,-0.502751599083558,1031,11.5842696629214
Avalon_2013,Avalon,2013,Winter,0.785344285344285,13.1666666666667,11,0.231117622487592,0.0687650078461995,2.76568072976436,0.0885986505373363,2013,Avalon,361,-9,-0.0249307479224377,2001-2013,small,medium,-0.506548277395878,3090,19.5569620253165
Cape_Shore_1994,Cape_Shore,1994,Autumn,0.546134094663506,6.20588235294118,6,Inf,0.0494708673500493,0.642770590231182,,1994,Cape_Shore,1157,60,0.0518582541054451,1987-1997,medium,medium,1.70882342690893,1773,8.40284360189573
Cape_Shore_1995,Cape_Shore,1995,Autumn,0.581467976467977,5.66666666666667,4,Inf,0.0432559281893506,0.662896608164594,,1995,Cape_Shore,1104,-53,-0.0480072463768116,1987-1997,medium,medium,1.5490424070205,3233,10.0092879256966
Cape_Shore_1996,Cape_Shore,1996,Calving,0.54687134502924,2.85148514851485,2,Inf,0.0469757535022152,0.230962745533835,,1996,Cape_Shore,1051,-53,-0.0504281636536632,1987-1997,medium,small,1.38926138713207,6900,10.6153846153846
