Total_Caribou,HERD,Date,year,jday,season,habitat,propOpen,propClosed
40,Middle_Ridge,2011-06-16T02:30:00Z,2011,167,Calving,open,0.664233565330505,0.335766434669495
13,Middle_Ridge,2011-06-16T02:30:00Z,2011,167,Calving,open,1,0
20,Middle_Ridge,2011-06-16T02:30:00Z,2011,167,Calving,open,0.919708013534546,0.0802919715642929
34,Middle_Ridge,2011-06-16T02:30:00Z,2011,167,Calving,closed,0.912408769130707,0.0875912383198738
1,Middle_Ridge,2011-06-16T02:30:00Z,2011,167,Calving,open,1,0
22,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,1,0
73,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.729927003383637,0.270072996616364
23,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.489051103591919,0.394160598516464
11,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.708029210567474,0.291970789432526
3,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.518248200416565,0.481751829385757
14,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.525547444820404,0.423357665538788
17,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.766423344612122,0.233576640486717
39,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.437956213951111,0.562043786048889
3,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.795620441436768,0.204379558563232
15,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.759124100208283,0.240875914692879
42,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.905109465122223,0.0948905125260353
2,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,closed,0.781021893024445,0.218978106975555
3,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.883211672306061,0.116788320243359
2,Middle_Ridge,2006-06-09T02:30:00Z,2006,160,Calving,open,0.905109465122223,0.0948905125260353
30,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,open,0.145985394716263,0.416058391332626
5,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,closed,0.00729927001520991,0.956204354763031
5,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,open,0.905109465122223,0.0948905125260353
3,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,open,1,0
4,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,open,0.788321197032929,0.0802919715642929
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
7,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
12,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.175182476639748,0.824817538261414
12,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.591240882873535,0.408759117126465
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.423357665538788,0.576642334461212
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.423357665538788,0.576642334461212
14,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.357664227485657,0.642335772514343
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.357664227485657,0.642335772514343
6,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.291970789432526,0.708029210567474
4,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.386861324310303,0.613138675689697
6,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.386861324310303,0.613138675689697
15,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.55474454164505,0.445255488157272
16,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.635036468505859,0.364963501691818
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.459854006767273,0.540145993232727
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.459854006767273,0.540145993232727
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.525547444820404,0.474452555179596
4,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.525547444820404,0.474452555179596
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
5,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
9,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
7,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.583941578865051,0.416058391332626
4,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.343065679073334,0.656934320926666
4,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.343065679073334,0.656934320926666
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.343065679073334,0.656934320926666
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.0802919715642929,0.919708013534546
5,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.0802919715642929,0.919708013534546
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.919708013534546,0.0802919715642929
5,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.474452555179596,0.525547444820404
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.233576640486717,0.518248200416565
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.145985394716263,0.854014575481415
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.189781025052071,0.810218989849091
15,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.189781025052071,0.810218989849091
11,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.197080299258232,0.802919685840607
6,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.197080299258232,0.802919685840607
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.204379558563232,0.795620441436768
11,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.810218989849091,0.189781025052071
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.664233565330505,0.335766434669495
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.795620441436768,0.204379558563232
5,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.299270063638687,0.700729906558991
15,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.386861324310303,0.613138675689697
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.386861324310303,0.613138675689697
12,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.0656934306025505,0.934306561946869
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.0656934306025505,0.934306561946869
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.416058391332626,0.583941578865051
4,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.416058391332626,0.583941578865051
3,Middle_Ridge,2004-06-07T02:30:00Z,2004,159,Calving,open,0.401459842920303,0.306569337844849
13,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,0.116788320243359,0.883211672306061
10,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
12,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.81751823425293,0.182481750845909
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,1,0
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.912408769130707,0.0875912383198738
8,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.912408769130707,0.0875912383198738
1,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,closed,,
5,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.992700755596161,0.00729927001520991
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,0.992700755596161,0.00729927001520991
2,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,,
3,Middle_Ridge,2002-11-02T03:30:00Z,2002,306,Winter,open,,
